h_over_b,p,e,e_box,benefit_capture
0.3,2.0,1.299979362152235,1.6580079141331137,0.45589020391561713
0.3,2.5,1.3671977930058137,1.6580079141331137,0.558044645237398
0.3,3.0,1.41582900827963,1.6580079141331137,0.6319513783165664
0.3,4.0,1.479862731789226,1.6580079141331137,0.7292658970848649
0.3,6.0,1.5455927090580832,1.6580079141331137,0.8291582780989332
0.3,8.0,1.5779981310235671,1.6580079141331137,0.8784060474182067
0.3,12.0,1.609028868903023,1.6580079141331137,0.9255646563239021
0.5,2.0,1.4999859598146372,2.001083730036977,0.4994446965951282
0.5,2.5,1.5977781417464423,2.001083730036977,0.5971310129317177
0.5,3.0,1.6672532473481934,2.001083730036977,0.6665309077828555
0.5,4.0,1.7574529933710796,2.001083730036977,0.7566330074539336
0.5,6.0,1.848743224486068,2.001083730036977,0.8478244117050209
0.5,8.0,1.8932891905783729,2.001083730036977,0.8923221542571443
0.5,12.0,1.9356417776131702,2.001083730036977,0.9346288922092565
