h_over_b,e_box,e_ellipse
0.05,1.152285760334775,1.0515971186641824
0.1,1.2679329778046093,1.1015839345033458
0.15,1.3732478516622084,1.1515630372954624
0.2,1.4721827091634472,1.2015342259895467
0.25,1.5666087604775023,1.2514974401743022
0.3,1.6580079141331137,1.301452653813005
0.4,1.8328678485888357,1.4013390314981315
0.5,2.001083730036977,1.5011933077338822
0.6,2.1647751610214323,1.601015470928311
0.75,2.4029506168140444,1.7506885264622547
1.0,2.7876839877813233,1.9999833205779425
