case,h_over_b,e_ideal,e_untwisted,e_twist_optimised,recovery_untwisted,recovery_optimised,max_twist_deg
circle,1.0,1.9995321516433562,1.9995321516433562,1.9995321516433577,1.0,1.0000000000000009,8.399762799673975e-06
ellipse,0.5,1.5061017262783958,1.4851494462207184,1.5061017262689955,0.9860884031323364,0.9999999999937585,0.7643600084165234
superellipse4,0.5,1.756944072112754,1.7413296028912657,1.7569440720885607,0.9911127112869839,0.9999999999862299,0.6320378431763213
